seqid	bp	p_val	calibrated.pvalue	p.bonf
Chr2	18026903	9.468005557067148e-7	1.4106732591016835e-10	0.17003117779659038
Chr11	6546598	1.0188579169477637e-6	1.7564085703017226e-10	0.18297159901506416
Chr13	4965604	2.7149696920416105e-6	2.8201836170189197e-9	0.48756783214529265
Chr4	4682775	4.884500209226685e-6	1.3087110629489237e-8	0.8771829700739743
Chr8	19547316	7.534483858805624e-6	3.835083000377044e-8	1
Chr11	6546562	8.956947829576455e-6	5.8130614757788936e-8	1
Chr6	20087317	9.460179752420896e-6	6.619721276400231e-8	1
Chr3	10130825	1.3760191008087147e-5	1.5825345154119828e-7	1
Chr8	16730419	1.3809544482011306e-5	1.595515325899282e-7	1
Chr1	21374778	1.3923443508667909e-5	1.6256820700673464e-7	1
Chr8	19020957	1.480276711419072e-5	1.868403315911426e-7	1
Chr10	14539731	1.5946650413066385e-5	2.2101562741188676e-7	1
Chr5	10978895	1.782089203537666e-5	2.8334349871098615e-7	1
Chr9	14160330	2.0324167420484784e-5	3.7876562318945035e-7	1
Chr8	17943390	2.0958577728663186e-5	4.0514267641320264e-7	1
Chr9	16892247	2.1093774608079285e-5	4.1087781168203854e-7	1
Chr3	2687091	2.457364718867513e-5	5.721686441606392e-7	1
Chr8	19020972	3.012127193635266e-5	8.827047774764713e-7	1
Chr5	7822110	3.0303557135016e-5	8.940001571277922e-7	1
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1
Chr9	496996	3.144658126720562e-5	9.663872794059362e-7	1
Chr8	19020959	3.591065684300171e-5	1.274522151625647e-6	1
Chr3	8501923	3.598872986883583e-5	1.2802667954816509e-6	1
Chr12	8857341	3.754443869924859e-5	1.3972502055562642e-6	1
Chr4	8049054	3.788865866531259e-5	1.423778155116425e-6	1
Chr8	16730449	3.824997576003706e-5	1.4518734382336642e-6	1
Chr11	10180478	3.9421456469042436e-5	1.5447169043229045e-6	1
Chr6	10472249	4.050194262852377e-5	1.6327082648134737e-6	1
Chr9	7547119	4.0924962446550296e-5	1.6677707019791854e-6	1
Chr5	2572648	4.307839661749504e-5	1.8515647084568858e-6	1
Chr2	10311411	4.559435060847013e-5	2.0774050374603427e-6	1
Chr14	9423590	4.920273844639777e-5	2.4218202216221383e-6	1
Chr5	8878458	5.209057172871177e-5	2.7145380847081463e-6	1
Chr3	14638329	5.519384318666336e-5	3.0456767559559245e-6	1
Chr2	10244100	5.912219821385543e-5	3.488991845506834e-6	1
Chr12	18808980	6.22460197886274e-5	3.86036832083379e-6	1
Chr5	7822108	6.256670492404139e-5	3.899424469474936e-6	1
Chr1	13008746	6.359510478164295e-5	4.025832506369925e-6	1
Chr6	21859739	6.590133493946483e-5	4.315689308027049e-6	1
Chr4	4682129	6.83212255828353e-5	4.629216132287175e-6	1
Chr8	16730491	7.328206738946477e-5	5.30145002241122e-6	1
Chr8	13731433	7.429585762122144e-5	5.4436297137183716e-6	1
Chr14	10726387	7.86862278246376e-5	6.077818593251251e-6	1
Chr2	12187227	7.90340475329297e-5	6.12932999351814e-6	1
Chr11	5392950	7.938154904078344e-5	6.1809786086749956e-6	1
Chr12	8059949	8.142959729636967e-5	6.489101739974496e-6	1
Chr4	4679588	8.196250655252741e-5	6.570315302070633e-6	1
Chr4	24379742	8.230557776016811e-5	6.622824012580026e-6	1
Chr4	4683436	8.41048761077897e-5	6.901098454524228e-6	1
Chr5	13400798	8.610677959010373e-5	7.216358082030002e-6	1
Chr6	14079379	8.673104923901366e-5	7.31587622217849e-6	1
Chr4	4681570	8.724491897776841e-5	7.398223633807076e-6	1
Chr4	24379744	8.87139035239185e-5	7.635753491373654e-6	1
Chr4	20841548	9.011558470172352e-5	7.86532038350305e-6	1
Chr13	10848439	9.13636068184557e-5	8.072104126449362e-6	1
Chr5	15720236	9.491623438779598e-5	8.672900982867018e-6	1
Chr10	13974066	9.946086798192726e-5	9.467310699300329e-6	1
Chr8	18958790	1.0208059214651589e-4	9.93820297923804e-6	1
Chr6	11177932	1.0232270064314187e-4	9.982194551211447e-6	1
Chr4	4655375	1.0325107323371086e-4	1.0151618814772028e-5	1
Chr9	21518359	1.035231803465459e-4	1.0201498385958348e-5	1
Chr7	4430062	1.0367869732004787e-4	1.0230050904616226e-5	1
Chr14	14441821	1.0430439437929857e-4	1.0345256925371359e-5	1
Chr9	6162541	1.0436233058481007e-4	1.0355951063268474e-5	1
Chr2	7674924	1.0564815521246307e-4	1.0594454824466215e-5	1
Chr8	8192113	1.1008599356084887e-4	1.1434522153531636e-5	1
Chr3	19917007	1.1118390120793241e-4	1.1646355828655176e-5	1
Chr2	11278686	1.1286232531594575e-4	1.1973232688806759e-5	1
Chr4	24379739	1.1734178798567968e-4	1.286340169250937e-5	1
Chr12	16221973	1.1868490667227921e-4	1.3135296224955784e-5	1
Chr2	10311132	1.1893157425411005e-4	1.3185478308878282e-5	1
Chr7	14159124	1.1925174876820427e-4	1.3250729056766653e-5	1
Chr5	2364292	1.2678717337365135e-4	1.4823318625824203e-5	1
Chr5	8760919	1.308381245948682e-4	1.5697490303654443e-5	1
Chr1	11473030	1.31741862921073e-4	1.5895209236117367e-5	1
Chr10	12257689	1.3180340358555825e-4	1.590870858137308e-5	1
Chr5	16291050	1.3563441456804326e-4	1.6757930875631446e-5	1
Chr10	3797678	1.3701532777968224e-4	1.706828723914935e-5	1
Chr9	6488111	1.4087753064489096e-4	1.794811769076731e-5	1
